x1,x2
-0.257054,0.078034
0.413775,0.682264
-1.314939,1.046564
1.220088,0.771365
-0.463453,-0.676564
-0.098112,1.071715
1.22731,-1.122478
0.765935,-1.113343
1.393368,-0.236377
0.15723,1.08758
-0.716196,-1.096125
-0.818925,0.896253
-0.295448,1.398856
0.547583,-1.094928
1.210631,1.410298
0.383665,-1.345742
0.850102,-0.134503
1.383015,-0.142093
-0.988103,-0.421304
1.462166,1.165714
0.614518,0.039867
0.328034,0.235792
1.286382,0.383881
0.03404,-1.409021
-0.337468,-0.131171
0.09925,1.165741
-0.421967,-0.940047
0.899109,0.154855
0.671895,-0.355445
-0.723641,-1.448069
1.487953,-0.057427
0.997743,-1.282102
0.27073,1.181755
0.190558,-0.976256
0.980501,0.478148
0.536118,-1.09715
-0.318613,0.320768
-0.864969,-0.66418
0.430844,1.273613
-0.74085,-0.825673
-0.736418,-0.370481
-0.634558,0.669434
-0.901785,0.755227
-0.495448,-0.884784
1.315129,1.006505
-0.601456,-0.985207
-0.708837,0.893113
-0.978164,0.957317
-0.76845,0.200058
1.031154,-0.909376
0.385261,-0.753503
-0.510878,-0.753934
0.305156,-0.511959
-0.113386,-0.438512
-1.212169,-1.415086
-1.091304,0.730042
-1.054965,-0.817743
-0.168198,-1.218692
0.331628,0.020567
0.684929,-0.477959
0.232136,0.408311
0.946112,-0.962049
0.542747,-0.315392
-1.276587,0.438859
0.295473,-0.36928
0.331363,1.469415
-0.904265,-1.325474
-0.911604,-0.262128
0.691352,0.379164
0.373127,1.07916
-0.318799,-0.346127
1.155236,-1.217919
0.894953,-1.190893
-0.608225,-0.202583
-1.159754,-0.310902
0.074872,0.164721
-0.13135,1.270038
-1.361443,0.412485
0.794982,0.598928
-0.559607,1.413267
-0.612786,0.343504
-0.928535,0.727924
-0.938841,1.074118
-0.483742,0.514387
-0.859894,-0.702449
-0.587008,0.295545
1.127628,0.670213
0.34005,1.379163
-1.367147,1.417492
-0.842373,-0.113961
0.30144,0.749011
-1.435647,-0.37798
-0.684308,0.759739
-0.957394,1.031666
-1.434443,1.298552
-0.034211,-0.925809
-1.294763,-0.876929
0.035663,-0.476142
0.212803,-1.345938
1.40327,-0.921535
-0.687219,-0.285732
0.259853,0.287313
0.833897,-1.413224
-0.785795,-0.27973
0.757013,-1.213394
0.736636,-0.568269
0.915697,0.81046
0.924226,1.277236
0.155812,-0.162151
1.212103,-0.461201
-0.877884,-0.612386
-0.344122,-0.043416
0.007935,-0.464052
-0.014667,-0.710047
-0.687573,-0.021397
-0.853883,-0.237492
-1.208335,-0.541924
-0.560511,0.672781
0.790112,-1.191159
0.096927,-0.62265
1.149676,-0.109819
1.068746,-0.738896
1.381926,0.104159
-0.083467,0.661084
0.660669,0.62972
-1.093091,0.557516
-1.444758,-0.389093
0.563099,0.324926
0.879631,-0.026086
0.181513,0.071434
0.262853,-1.193734
0.232089,-0.613594
-1.288881,0.979832
-0.758585,-0.917213
0.601044,-0.547469
0.174128,-1.379737
0.750578,1.324283
-1.244538,0.076306
0.19035,-1.213882
-0.699931,1.25831
0.772093,-0.570101
0.538999,-0.645746
-0.384126,1.052808
-1.499224,-0.517983
-0.616102,-0.662989
0.598535,1.311451
0.181604,1.066743
1.31401,-0.737028
-0.954961,1.033802
1.200928,-1.060463
-1.2138,0.329041
1.496543,0.157104
-0.899673,0.374971
-0.406941,0.8655
0.5221,-1.21489
0.761697,-0.199153
-0.368553,1.264488
-1.032805,1.46079
-0.27878,-0.313151
1.03501,0.348742
-0.662125,-0.702119
0.799842,-0.912032
0.296055,1.001742
0.855846,0.642524
-1.164325,-0.851907
-1.043185,0.330592
-0.269341,1.304397
0.954837,1.134316
-1.480585,1.096019
1.251708,1.250163
0.335409,1.434227
-1.323007,0.101165
0.937223,1.394816
0.861161,1.289153
1.44881,1.479434
1.348072,-1.46638
1.403432,-0.175549
0.880606,-0.003119
-0.395597,-0.421304
0.745332,1.296118
-0.091793,0.276312
0.685373,-0.918317
-0.660164,0.481347
-0.077044,-0.537276
0.970307,0.996899
1.035297,0.605776
-0.331693,-0.494166
0.128471,1.338218
-1.380537,-0.955623
0.066266,0.541614
0.766866,0.499803
-0.758428,1.386629
-0.361457,1.149556
0.527038,-1.16084
-1.131046,1.410046
0.865007,-0.731648
0.037022,-0.781398
0.833427,-0.793476
1.195854,-0.355119
1.102943,0.886181
1.045087,0.443848
-0.148542,-0.459618
1.314585,0.858984
-0.832886,1.485846
-0.47886,-0.457185
0.004245,-1.173888
-1.012217,-1.290079
0.916947,0.851077
0.55477,1.486464
-0.504072,-0.362704
0.289844,0.318891
-0.823452,0.287017
0.899582,0.878916
1.147287,1.381501
-0.304478,-1.306869
0.868537,-1.474853
-0.308774,1.288307
1.273559,-1.235254
-0.152149,1.268561
1.259212,-0.888529
0.416386,-1.323341
1.359897,-1.422126
1.487676,-1.439206
0.397328,-1.284248
-1.00428,-0.940841
-0.192525,0.747886
0.56651,-0.114487
-0.375403,0.245163
1.418012,0.57264
0.622544,0.490655
-0.188844,-1.276295
-0.124377,0.337378
1.32062,0.462318
-0.494369,0.299831
1.091302,1.25162
0.718723,-1.476254
0.045174,-0.175529
0.196471,0.312586
1.19906,-1.451739
-0.545188,-0.03617
0.683521,0.674824
-0.147755,0.629627
-0.10769,-0.844729
0.041556,-0.536703
0.800417,-0.598047
1.079083,0.056366
0.188228,-0.056414
-0.418624,-0.644335
-0.786729,0.270662
0.010901,-0.233254
-0.982691,-0.326695
-0.379145,-0.340841
-0.706783,1.065411
0.39518,0.967801
-0.272953,-0.89672
0.643937,0.906602
0.15788,0.891938
-0.15196,-0.282097
-0.287023,0.283218
-0.593393,0.418607
-1.33355,0.05447
0.013901,-0.147159
0.753277,-0.05967
-0.493649,1.137461
1.034402,-0.439685
-1.265704,1.014099
0.308193,0.121007
-0.14439,1.368254
-0.442312,0.262548
-0.209218,1.356943
-1.253989,-0.340971
0.901765,-1.152353
-0.330066,-1.083285
-1.346998,0.199338
0.631743,0.411777
-1.243924,-0.89723
-0.154499,1.051224
1.146768,-1.249738
-0.796385,0.54684
-0.955215,1.176478
-0.53609,-0.038687
-0.246943,-0.033757
1.073812,0.31872
-1.154938,-0.160895
0.971456,0.64325
0.673798,0.138283
-0.061021,1.009027
-0.438991,0.599615
-0.011758,-1.162271
-0.564782,-0.057465
0.031999,0.077851
0.303216,-1.095332
6.7e-05,0.804996
-0.252133,0.974561
0.226331,0.96268
0.023564,0.505014
0.047317,0.974866
0.206837,-0.584691
-0.585898,0.215541
-1.124228,-1.206903
0.558787,-0.261128
-1.321424,0.068081
-0.838163,0.030524
0.052791,1.161416
1.194687,0.102416
0.308215,-0.218632
1.100073,0.611524
-0.583583,-0.157262
-0.98552,-0.0554
0.413507,-1.05168
1.250736,-0.399324
-1.452356,-0.27965
1.476414,1.399484
-0.246355,-0.603195
-0.257568,-0.546909
0.524998,0.360905
-1.160264,0.878258
0.175537,-0.24961
0.541166,0.814409
0.707889,-1.455935
-1.063874,0.065336
-1.169681,1.114483
0.543269,-0.629486
0.363395,1.328214
-0.256287,0.401197
0.231748,-0.869714
1.144917,-0.582499
0.459565,-0.583199
-1.224774,-0.150128
-0.114464,-0.914862
1.317732,0.786036
-1.439131,0.285898
0.154039,-0.277804
-0.802014,-0.106232
0.744419,-0.094261
1.391812,0.780553
-1.31302,0.851436
1.178951,-1.428658
0.81035,-0.87018
-1.086688,-0.131697
1.143683,-0.944996
1.017825,1.478426
1.023135,-0.256626
0.785533,0.085636
-0.731776,0.124604
1.325869,-0.044402
-0.367719,0.669627
0.310879,0.22112
-1.210937,0.26174
-1.485955,1.493239
-0.427071,-1.084813
-1.164613,-0.520033
-0.35438,-0.06805
0.993919,1.251759
1.116857,-0.745799
1.161456,0.414988
-0.067351,-0.355778
0.821156,-0.889958
1.365716,-1.45627
-0.631026,1.19601
-1.285191,0.260806
0.273051,0.393442
-0.591651,1.162807
1.445856,-1.20416
0.462821,0.862218
-0.422342,-0.564646
-1.258133,1.179511
-1.47967,-1.422547
-0.231246,-1.482355
-0.72326,1.168879
-0.629079,-0.611211
1.319269,0.176003
0.996627,-0.582156
-1.319917,1.422138
0.251513,0.993929
-0.678037,-1.070065
0.484837,-0.041562
0.151599,0.163759
0.172726,-0.952501
-1.315767,-1.052131
0.442478,0.555859
1.17265,-0.257133
1.252045,0.009368
0.267179,0.19871
-1.269975,1.308711
0.326946,-1.457867
-1.151413,1.353367
-0.30717,1.25071
0.121315,-0.785487
-0.458748,1.196877
1.061628,-0.994077
-0.421401,-0.986469
1.023233,-0.739792
-1.103703,1.206832
-1.272729,0.576739
-0.179941,-1.14271
0.957515,0.817034
-1.016031,1.308153
-0.488563,-1.113744
-0.300075,1.268181
0.891415,-0.289435
0.34299,0.428707
1.47215,-0.419044
-0.498109,-0.540558
1.351193,-0.161548
-0.972512,-0.032865
0.195494,-1.195188
-1.355768,0.044089
0.244969,1.002523
0.251691,-0.529185
0.541487,-0.971077
-0.943763,-0.966979
1.028362,0.818321
0.784526,-1.385706
0.347105,-1.23243
-0.661492,-0.829278
-1.275992,0.299293
1.282579,0.268054
-0.611443,-0.654214
-0.834402,0.008884
1.364525,0.355859
0.61987,0.926712
0.444623,1.378646
-0.537566,0.118277
-1.365165,0.157253
0.622666,-0.758235
0.136126,-1.321718
0.025144,-0.536263
1.220946,1.34142
0.888418,-1.259986
0.363657,-1.475523
0.471375,-0.117037
-1.236163,0.915078
0.946766,-0.34387
-0.629311,-1.192666
0.306518,-0.20929
0.961085,0.030731
-0.364017,0.502022
-1.186046,-0.064918
-0.068254,-1.072713
0.634843,-0.563829
1.098789,-1.164902
-0.346239,0.872849
1.311393,-0.334167
-0.292056,-0.805786
0.980161,0.907108
-1.491724,-0.849477
-0.896853,-1.418959
-0.227416,1.08613
0.049615,-0.926187
0.635318,1.207742
0.663047,0.835169
0.145803,-0.089499
-1.252684,-1.472913
0.618552,-0.445379
0.554985,0.98752
-1.342738,0.765893
-1.475186,-0.082445
0.358126,0.522874
-0.988402,0.774597
0.720493,-0.778137
-0.702028,0.126409
0.204628,-1.378027
0.931865,1.205662
-0.998887,-0.349478
-0.137129,0.007304
-0.613918,-0.623815
0.205969,0.630143
0.467219,0.740765
-1.493574,1.090238
-0.573928,-1.013554
-1.079514,-0.299513
-0.785042,-1.18142
-0.11819,-0.162338
0.615664,-1.474904
0.31447,0.550176
-0.97121,1.422288
-1.323569,0.581232
1.087536,-1.037482
-0.948964,0.087679
0.856258,-0.287782
0.594352,-0.00791
-1.431117,-0.353805
-0.958437,-1.031531
1.300039,0.902143
-0.002673,0.417872
1.382106,0.853024
0.34468,0.311465
-0.196557,0.243285
0.272758,1.156155
1.277272,0.974631
-1.030351,-1.359257
1.455643,0.052604
1.151428,0.723396
0.640528,-1.04244
-0.447768,-0.435653
1.02442,0.099479
1.387634,1.258384
-0.213454,1.464766
0.650101,-1.180722
0.211179,-0.916728
0.975941,-0.37627
-1.375423,0.961152
1.444998,-1.110751
0.964792,-0.654986
-0.835034,-1.14148
0.532887,1.47655
-0.965433,1.315543
-0.070444,-0.667208
-0.708371,-0.807262
1.279217,1.175945
-0.144253,1.466365
-0.510617,-0.36282
-1.421395,0.862686
-0.810919,-0.502054
-0.839572,-1.328623
-1.309518,-1.47292
-0.425152,0.35873
-1.045031,0.980766
-0.791412,-1.218472
-0.767962,0.280354
-0.362565,0.459443
-0.500989,0.911529
1.370941,-0.202601
-0.12698,-0.442335
-0.161295,-1.28706
0.007739,-0.462262
0.814266,0.908933
-1.100368,1.062326
-1.353261,0.798502
-1.382368,-0.762747
-0.256586,-1.212645
-1.201989,0.178382
-1.049446,-0.319235
-0.986041,0.71466
-0.723295,0.678143
-0.14989,-1.276844
-0.44047,1.460919
-0.136381,0.432185
0.897074,1.081085
-0.984418,1.280663
-0.737298,-1.11351
1.296309,-0.044167
-0.18325,0.741024
0.511264,0.559754
-1.361773,-0.721144
0.666649,0.200131
0.245932,1.371974
-1.188791,0.820413
1.190663,-0.720153
0.031741,-1.087173
0.723786,-0.379602
-1.054398,0.267919
1.367268,1.049629
0.534147,0.73795
0.938583,-1.414421
-1.498142,-1.31452
1.335313,-0.244228
-0.571651,0.479443
-0.998204,-1.30131
-0.902069,0.378482
0.931865,-0.626216
0.013283,0.854626
0.011883,0.682825
1.063841,1.389637
0.405045,1.112858
-0.046944,0.538742
-1.385685,-1.47408
-1.003378,0.322743
-0.087135,1.064263
1.307669,-0.423053
1.4145,-1.236882
0.723562,0.118453
1.015819,0.873488
0.431134,0.811896
0.734082,0.921265
-0.257329,-1.278093
0.675823,-0.230556
0.585089,1.130427
-0.030161,1.391632
0.110532,1.34624
-0.653368,-1.215485
-0.611455,-1.001878
1.329852,-0.397393
1.020438,0.369319
1.405354,-0.15477
-1.370948,1.480222
-1.169934,0.129282
1.174778,1.323086
0.808171,-1.094525
1.338597,1.192932
-0.739392,-1.06184
-0.009956,-0.764897
-0.345994,-0.473448
1.423383,1.394713
1.246573,1.079312
0.848047,-0.556794
0.057407,-0.192209
0.737647,-0.231181
1.075656,1.429566
0.637871,0.455424
1.070911,1.477939
0.986845,1.475199
0.592329,-0.762925
-0.272968,0.836246
1.424765,1.048059
1.165059,0.601954
-1.218569,-1.250704
-1.490566,0.845467
0.579861,-1.224007
0.454476,0.877289
0.9793,1.195708
1.181852,-0.05974
0.111766,-0.102523
0.089621,-1.102686
-1.048881,0.560343
0.170057,0.251607
0.234839,-0.756252
1.40756,-0.196584
1.185553,1.411729
0.044597,-1.484475
-0.155995,-0.1398
-0.287435,0.741673
-0.149162,1.401214
1.447784,-1.123489
0.996481,-1.109828
0.473825,1.410868
-1.404778,-0.232848
0.445922,-0.884362
-0.199203,-1.009577
-1.196546,0.916996
0.543536,-0.876307
0.142188,-0.378051
-0.353498,0.04725
0.064426,-1.296632
-1.240446,-0.174094
-0.464121,-0.116972
-0.409004,-0.677132
-1.145541,-0.244077
1.3778,1.05706
-0.270729,-0.081576
1.352565,0.902142
1.118697,0.825572
-1.485947,1.49646
1.426799,0.864555
-0.325882,1.430827
-0.397783,1.19499
0.507422,-1.248722
-0.556835,-0.469729
-0.744887,-1.395345
0.941792,-1.21371
-0.09632,-0.568445
0.632773,1.285029
-1.141561,1.414955
-0.758967,0.401388
-0.621307,-0.484914
-1.145197,-0.172623
0.076765,0.559394
0.70255,0.588267
1.272757,0.858755
-0.631292,0.211363
-1.262427,0.466486
-1.356983,-0.2956
1.374653,-0.944926
-0.54854,0.242491
0.263026,-1.47978
1.375266,0.336755
1.294475,-1.499962
-1.10211,-1.361001
0.581223,0.192175
1.191711,-0.858638
0.09981,-0.119271
-1.022489,0.527112
1.488332,-0.575329
-0.682561,0.591324
0.730747,0.151407
0.843722,0.485718
0.772033,1.007562
-0.97492,-0.24309
1.40235,-0.812571
-1.168478,-0.196413
1.303104,0.412536
1.086811,1.332083
0.519184,0.323591
1.327794,-0.285563
-0.445479,-0.665368
